ch,sx,nr,mass
"0,S,0,0,0,0,0,0,0,0,0,u,u,0,0,0,u,0,0,0,0,u,0,0,0,0,0,0,0,0,0,u,0,0,0,0,0,u,0,0,u,0,0,0,0,0,0,0,0,0,0,0,0,0",M,F,29.6
"0,S,0,0,0,0,u,u,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0",F,F,20.9
"0,S,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0",F,F,18.5
"0,S,0,0,0,0,u,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0",M,F,26.5
"S,0,0,0,0,0,u,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,u,0,0,0,0,u,u,u,u,u,u,u,0,0,0,0,0,0,0,0,0,0,0",F,H,18.9
"S,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0",M,H,29.9
"S,u,0,0,0,0,u,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0",F,H,20.9
"S,u,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0",M,H,25.4
"S,u,u,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0",M,H,34.4
"S,u,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0",M,H,20.4
"S,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0",F,H,19.9
"S,u,u,0,0,0,0,0,0,0,0,u,u,0,0,0,u,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0",M,H,26.9
"S,u,0,0,0,0,u,0,0,0,0,0,0,0,0,0,u,0,0,0,0,0,0,0,0,0,u,0,0,0,0,u,0,0,0,0,0,u,u,u,0,0,0,0,0,0,0,0,0,0,0,0,0,0",M,H,26.4
"S,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0",M,H,28.4
"S,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,u,0,0,0,0,u,0,0,0,0,u,0,0,0,0,u,0,0,0,0,u,u,u,u,0,0,0,0,0,0,0,0,0,0,0,0,0,0",M,H,28.9
"S,u,u,0,0,0,0,0,0,0,0,u,0,0,0,0,u,0,0,0,0,u,0,0,0,0,u,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0",F,H,27.9
"S,0,0,0,0,0,u,u,0,0,0,u,0,0,0,0,u,0,0,0,0,u,0,0,0,0,u,0,0,0,0,0,0,0,0,0,0,u,u,u,0,u,u,u,0,0,0,0,0,0,0,0,0,0",F,H,29.4
"S,0,0,0,0,0,u,0,0,0,0,0,0,0,0,0,0,0,0,0,0,u,0,0,0,0,0,0,0,0,0,u,0,0,0,0,u,u,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0",M,H,19.9
"S,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0",F,H,20.9
"S,u,S,0,0,0,u,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0",M,H,22.9
"S,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0",M,H,29.4
"S,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0",M,H,26.9
"S,S,u,0,0,0,0,0,0,0,0,0,0,0,0,0,u,0,0,0,0,u,0,0,0,0,0,0,0,0,0,0,0,0,0,0,u,u,0,u,0,0,0,0,0,0,0,0,0,0,0,0,0,0",M,H,30.9
"S,u,0,0,0,0,u,0,0,0,0,u,u,u,0,0,0,0,0,0,0,0,0,0,0,0,u,0,0,0,0,u,0,0,0,0,u,u,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0",M,H,31.4
"S,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0",F,H,20.9
"S,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0",M,H,20.9
"S,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0",M,H,28.4
"S,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0",M,H,16.9
"S,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0",F,H,24.9
"S,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,u,0,0,0,0,u,0,0,0,0,u,0,0,0,0,0,0,0,0,0,u,u,u,u,u,u,u,0,0,0,0,0,0,0,0,0,0,0",F,H,25.9
"S,0,0,0,0,0,u,0,0,0,0,u,0,0,0,0,u,0,0,0,0,u,0,0,0,0,u,0,0,0,0,u,0,0,0,0,u,u,u,u,u,u,0,0,0,0,0,0,0,0,0,0,0,0",F,H,19.9
"S,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0",F,H,15.9
"S,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0",M,H,22.9
"S,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0",F,H,19.9
"S,u,u,0,0,0,u,0,0,0,0,u,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0",M,H,21.9
"S,u,u,0,0,0,u,u,0,0,0,u,0,0,0,0,u,0,0,0,0,u,0,0,0,0,u,0,0,0,0,0,0,0,0,0,0,u,u,u,u,u,0,0,u,0,0,0,0,u,0,0,0,0",F,H,20.9
"S,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0",M,H,29.4
"S,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0",M,H,29.9
"S,0,0,0,0,0,0,0,0,0,0,u,0,0,0,0,u,0,0,0,0,u,0,0,0,0,u,0,0,0,0,0,0,0,0,0,u,u,u,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0",F,H,21.9
"S,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0",F,H,24.4
"S,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0",M,H,27.4
"S,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0",M,H,20.4
"S,0,0,0,0,0,0,0,0,0,0,u,0,0,0,0,u,0,0,0,0,u,0,0,0,0,u,0,0,0,0,u,0,0,0,0,u,u,u,u,0,0,0,0,0,0,0,0,0,0,0,0,0,0",F,H,23.9
"S,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0",M,H,23.4
"S,u,0,0,0,0,u,0,0,0,0,0,0,0,0,0,u,0,0,0,0,u,0,0,0,0,u,0,0,0,0,u,0,0,0,0,0,u,u,u,u,u,0,0,0,0,0,0,0,0,0,0,0,0",F,H,22.4
"S,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0",M,H,26.9
"S,u,u,0,0,0,u,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0",M,H,22.9
"S,u,u,0,0,0,u,0,0,0,0,0,0,0,0,0,0,0,0,0,0,u,0,0,0,0,u,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0",M,H,25.4
"S,u,u,0,0,0,0,0,0,0,0,u,u,u,0,0,u,0,0,0,0,0,0,0,0,0,u,0,0,0,0,u,0,0,0,0,u,u,u,u,0,u,u,u,0,0,0,0,0,u,0,0,0,0",F,H,25.9
"S,u,u,0,0,0,u,0,0,0,0,u,u,u,0,0,u,0,0,0,0,u,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0",M,H,34.9
"S,0,0,0,0,0,u,u,0,0,0,0,0,0,0,0,u,0,0,0,0,0,0,0,0,0,u,0,0,0,0,u,0,0,0,0,u,u,0,u,0,u,0,u,0,0,0,0,0,u,0,0,0,0",F,H,23.9
"S,u,0,0,0,0,u,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,u,0,0,0,0,u,u,u,u,u,0,0,0,0,0,0,0,0,0,0,0,0,0",M,H,29.4
"S,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0",F,H,16.9
"S,u,u,0,0,0,u,u,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0",M,H,18.9
"S,0,0,0,0,0,u,u,0,0,0,0,0,0,0,0,u,0,0,0,0,u,0,0,0,0,u,0,0,0,0,u,0,0,0,0,u,0,u,0,u,u,u,0,u,0,0,0,0,u,0,0,0,0",F,H,20.9
"S,u,0,0,0,0,0,0,0,0,0,u,u,u,0,0,u,0,0,0,0,u,0,0,0,0,u,0,0,0,0,0,0,0,0,0,u,u,u,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0",F,H,22.9
"S,0,0,0,0,0,0,0,0,0,0,u,0,0,0,0,0,0,0,0,0,u,0,0,0,0,0,0,0,0,0,u,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0",M,H,31.9
"S,u,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0",M,H,19.9
"S,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0",F,H,25.4
"S,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0",M,H,32.4
"S,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0",F,H,22.9
"S,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0",F,H,20.9
"S,u,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0",F,H,19.4
"S,u,u,0,0,0,u,0,0,0,0,u,u,u,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0",M,H,26.4
"S,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0",F,H,25.4
"S,u,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0",F,H,22.9
"S,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0",M,H,28.4
"S,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0",F,H,25.4
"S,u,u,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0",M,H,26.4
"S,u,u,0,0,0,0,0,0,0,0,u,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0",M,H,28.9
"S,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0",F,H,22.9
"S,u,u,u,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0",F,H,22.4
"S,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0",M,H,28.4
"S,0,0,0,0,0,u,0,0,0,0,0,0,0,0,0,0,0,0,0,0,u,0,0,0,0,u,0,0,0,0,u,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0",M,H,25.9
"S,u,0,0,0,0,u,u,0,0,0,0,0,0,0,0,u,0,0,0,0,u,0,0,0,0,u,0,0,0,0,u,0,0,0,0,u,0,u,u,u,u,0,u,0,0,0,0,0,u,0,0,0,0",F,H,23.4
"S,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0",F,H,22.9
"S,u,S,0,0,0,S,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0",M,H,24.4
"S,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0",M,H,29.2
"S,u,u,0,0,0,u,u,0,0,0,0,0,0,0,0,u,0,0,0,0,u,0,0,0,0,u,0,0,0,0,0,0,0,0,0,u,u,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0",F,H,20.2
"S,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0",F,H,23.2
"S,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0",M,H,23.2
"S,0,0,0,0,0,0,0,0,0,0,u,0,0,0,0,u,0,0,0,0,u,0,0,0,0,0,0,0,0,0,u,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0",M,H,32.2
"S,u,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0",M,H,29.2
"S,0,0,0,0,0,u,0,0,0,0,u,0,0,0,0,u,0,0,0,0,0,0,0,0,0,u,0,0,0,0,u,0,0,0,0,u,u,u,u,u,0,u,0,0,0,0,0,0,0,0,0,0,0",M,H,28.7
"S,S,0,0,0,0,u,u,u,u,u,u,u,u,0,0,u,0,0,0,0,u,0,0,0,0,u,0,0,0,0,0,0,0,0,0,u,u,0,u,u,u,0,u,0,0,0,0,0,u,0,0,0,0",F,H,16.2
"S,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0",M,H,30.2
"S,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0",M,H,28.2
"S,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0",F,H,19.7
"S,u,0,0,0,0,u,u,0,0,0,0,0,0,0,0,0,0,0,0,0,u,0,0,0,0,u,0,0,0,0,u,0,0,0,0,u,0,u,u,u,0,0,0,0,0,0,0,0,0,0,0,0,0",M,H,19.2
"S,u,u,0,0,0,0,0,0,0,0,u,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0",F,H,27.2
"S,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0",M,H,23.2
"S,u,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0",M,H,23.7
"S,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0",M,H,23.2
"S,u,u,u,0,0,u,0,0,0,0,u,u,0,0,0,0,0,0,0,0,u,0,0,0,0,u,0,0,0,0,0,0,0,0,0,u,0,0,0,u,u,0,0,0,0,0,0,0,0,0,0,0,0",F,H,22.7
"S,u,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0",F,H,22.2
"S,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,u,0,0,0,0,u,0,0,0,0,u,0,0,0,0,0,0,0,0,0,u,u,0,u,0,0,0,0,0,0,0,0,0,0,0,0,0,0",M,H,27.2
"S,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,u,0,0,0,0,u,0,0,0,0,u,0,0,0,0,u,0,0,0,0,u,u,0,u,0,0,0,0,0,0,0,0,0,0,0,0,0,0",M,H,21.7
"S,u,0,0,0,0,u,u,u,0,0,u,0,0,0,0,0,0,0,0,0,u,0,0,0,0,0,0,0,0,0,u,0,0,0,0,0,u,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0",M,H,22.7
"S,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0",F,H,18.2
"S,u,0,0,0,0,0,0,0,0,0,u,0,0,0,0,0,0,0,0,0,u,0,0,0,0,u,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0",F,H,24.7
"S,u,u,0,0,0,u,0,0,0,0,u,0,0,0,0,u,0,0,0,0,u,0,0,0,0,u,0,0,0,0,0,0,0,0,0,u,u,u,u,0,u,u,0,0,0,0,0,0,0,0,0,0,0",M,H,21.7
"S,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0",F,H,23.7
"S,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0",M,H,21.7
"S,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0",M,H,22.7
"S,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0",M,H,27.2
"S,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0",M,H,29.2
"S,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0",M,H,26.2
"S,0,0,0,0,0,0,0,0,0,0,u,u,0,0,0,u,0,0,0,0,u,0,0,0,0,u,0,0,0,0,0,0,0,0,0,0,u,0,u,0,0,0,0,0,0,0,0,0,0,0,0,0,0",F,H,21.2
"S,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,u,0,0,0,0,u,0,0,0,0,u,0,0,0,0,0,0,0,0,0,u,u,u,u,u,u,u,u,u,0,0,0,0,u,0,0,0,0",F,H,21.7
"S,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0",M,H,24.2
"S,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0",M,H,21.7
"S,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0",F,H,20.7
"S,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0",M,H,26.2
"S,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0",F,H,23.2
"S,u,0,0,0,0,u,0,0,0,0,u,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0",M,H,28.2
"S,S,u,0,0,0,u,0,0,0,0,u,0,0,0,0,0,0,0,0,0,u,0,0,0,0,0,0,0,0,0,u,0,0,0,0,0,0,u,u,u,0,0,0,0,0,0,0,0,0,0,0,0,0",M,H,28.2
"S,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0",M,H,30.7
"S,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0",F,H,25.2
"S,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0",F,H,21.7
